id,revenue
3001,2591526.5
3002,2591526.5
3003,8207119.0
3004,12809284.0
3005,2591526.5
3006,7863168.5
3007,3194384.2
3008,24601012.0
3009,19628980.0
3010,126644856.0
3011,1756799.6
3012,3194384.2
3013,15161920.0
3014,1741100.0
3015,20003932.0
3016,2575826.8
3017,43640130.0
3018,53348380.0
3019,3659108.5
3020,293606430.0
3021,33009696.0
3022,33461058.0
3023,1888765.2
3024,19086220.0
3025,2723492.8
3026,43060012.0
3027,2989631.0
3028,61970964.0
3029,1741100.0
3030,33009696.0
3031,9469758.0
3032,3194384.2
3033,1741100.0
3034,1756799.6
3035,7926817.5
3036,15161920.0
3037,33461058.0
3038,24618756.0
3039,15366492.0
3040,2575826.8
3041,13457214.0
3042,2575826.8
3043,4518489.0
3044,5259612.5
3045,144690300.0
3046,2740638.2
3047,8514754.0
3048,17461598.0
3049,9638032.0
3050,9648868.0
3051,1741100.0
3052,16570304.0
3053,1756799.6
3054,2359658.2
3055,28906478.0
3056,1741100.0
3057,39694816.0
3058,271854700.0
3059,2359658.2
3060,32458680.0
3061,26037314.0
3062,13316610.0
3063,26037314.0
3064,44756530.0
3065,16570304.0
3066,39694816.0
3067,6927111.0
3068,22597670.0
3069,110476650.0
3070,2591526.5
3071,9528022.0
3072,148791420.0
3073,2591526.5
3074,1756799.6
3075,33461058.0
3076,65750740.0
3077,16686372.0
3078,39694816.0
3079,23842412.0
3080,39694816.0
3081,12453412.0
3082,7926817.5
3083,6559157.5
3084,1741100.0
3085,12809284.0
3086,32458680.0
3087,2575826.8
3088,2591526.5
3089,2359658.2
3090,19752186.0
3091,11987654.0
3092,8191420.0
3093,117780696.0
3094,40735870.0
3095,19126942.0
3096,1756799.6
3097,385963400.0
3098,11526200.0
3099,28758358.0
3100,7447709.5
3101,7326861.0
3102,7422026.0
3103,2359658.2
3104,1756799.6
3105,45882388.0
3106,44756530.0
3107,19632558.0
3108,11526200.0
3109,9605314.0
3110,163861860.0
3111,5875163.0
3112,2575826.8
3113,11526200.0
3114,20541296.0
3115,20541296.0
3116,5713361.5
3117,2723492.8
3118,7207412.5
3119,89417000.0
3120,102734400.0
3121,3194384.2
3122,7470308.5
3123,12128712.0
3124,7240129.0
3125,1741100.0
3126,18423612.0
3127,8191420.0
3128,20772884.0
3129,94374620.0
3130,5713361.5
3131,7191713.5
3132,4899656.0
3133,2359658.2
3134,7648695.5
3135,2591526.5
3136,4214741.5
3137,73393380.0
3138,1741100.0
3139,22395880.0
3140,32724138.0
3141,6061430.5
3142,1741100.0
3143,61556200.0
3144,10075200.0
3145,9826002.0
3146,2359658.2
3147,15579600.0
3148,7421893.0
3149,29944570.0
3150,40990876.0
3151,6920556.0
3152,14890702.0
3153,7447709.5
3154,11526200.0
3155,22395880.0
3156,6936255.0
3157,9590604.0
3158,47198290.0
3159,8511826.0
3160,3194384.2
3161,3194384.2
3162,9590604.0
3163,22395880.0
3164,2591526.5
3165,2575826.8
3166,1905910.6
3167,35687788.0
3168,2359658.2
3169,15554978.0
3170,7375276.5
3171,9648868.0
3172,19632558.0
3173,1741100.0
3174,3505702.8
3175,7240129.0
3176,19179526.0
3177,33009696.0
3178,3194384.2
3179,7191713.5
3180,7814753.0
3181,2575826.8
3182,94005920.0
3183,13757190.0
3184,10701666.0
3185,44521250.0
3186,19205848.0
3187,7454742.5
3188,13337584.0
3189,35490236.0
3190,9884264.0
3191,15161920.0
3192,3194384.2
3193,171868370.0
3194,35490236.0
3195,1741100.0
3196,8191420.0
3197,12128712.0
3198,59881816.0
3199,113390136.0
3200,6559157.5
3201,9884264.0
3202,3354568.5
3203,1756799.6
3204,3690408.8
3205,3194384.2
3206,8347786.5
3207,29169842.0
3208,8055740.5
3209,2359658.2
3210,144690300.0
3211,1756799.6
3212,31494874.0
3213,31569632.0
3214,3668252.0
3215,3194384.2
3216,8290593.0
3217,162937500.0
3218,3659108.5
3219,4247974.5
3220,66174372.0
3221,7326861.0
3222,3967673.8
3223,7470308.5
3224,2359658.2
3225,8207119.0
3226,8200564.0
3227,50855744.0
3228,46117668.0
3229,59881816.0
3230,16477298.0
3231,17516280.0
3232,16111214.0
3233,6092430.0
3234,7323933.0
3235,9648868.0
3236,2575826.8
3237,19179526.0
3238,6065342.0
3239,2575826.8
3240,163861860.0
3241,2591526.5
3242,3194384.2
3243,3040059.2
3244,1756799.6
3245,7618907.0
3246,16491396.0
3247,15161920.0
3248,26366902.0
3249,18139658.0
3250,132344824.0
3251,2591526.5
3252,7375276.5
3253,26037314.0
3254,1756799.6
3255,1756799.6
3256,26904178.0
3257,15161920.0
3258,11072164.0
3259,20046382.0
3260,3774067.5
3261,245840880.0
3262,13204316.0
3263,1741100.0
3264,2359658.2
3265,1756799.6
3266,1756799.6
3267,21359432.0
3268,1756799.6
3269,22597670.0
3270,32923300.0
3271,6927111.0
3272,9175758.0
3273,13953334.0
3274,156401760.0
3275,8143302.5
3276,2359658.2
3277,4899656.0
3278,43243340.0
3279,9946848.0
3280,93476230.0
3281,1741100.0
3282,2591526.5
3283,168144020.0
3284,13994056.0
3285,24709268.0
3286,2591526.5
3287,7191713.5
3288,14931424.0
3289,34410370.0
3290,30119146.0
3291,21490592.0
3292,83464940.0
3293,43148810.0
3294,11526200.0
3295,3194384.2
3296,2591526.5
3297,4668484.5
3298,39694816.0
3299,2591526.5
3300,19126942.0
3301,1888765.2
3302,7372082.0
3303,7323933.0
3304,5713361.5
3305,18086846.0
3306,2591526.5
3307,23546968.0
3308,6092430.0
3309,3241101.0
3310,7207412.5
3311,2591526.5
3312,9469758.0
3313,33009696.0
3314,8239835.5
3315,47337660.0
3316,16154630.0
3317,6927111.0
3318,2575826.8
3319,2591526.5
3320,13266556.0
3321,5684094.0
3322,2591526.5
3323,52806290.0
3324,5436498.5
3325,36421036.0
3326,73393380.0
3327,27058772.0
3328,8065792.0
3329,6065342.0
3330,63787384.0
3331,7519986.0
3332,23842412.0
3333,97015210.0
3334,3194384.2
3335,24645474.0
3336,10701666.0
3337,1756799.6
3338,6559157.5
3339,2723492.8
3340,43243340.0
3341,9469758.0
3342,21991050.0
3343,31494874.0
3344,1905910.6
3345,7207412.5
3346,16570304.0
3347,2591526.5
3348,13480206.0
3349,40511484.0
3350,61114304.0
3351,30036706.0
3352,3327249.0
3353,38777030.0
3354,8200564.0
3355,2359658.2
3356,16195352.0
3357,3194384.2
3358,3668252.0
3359,19381316.0
3360,4385682.5
3361,117780696.0
3362,7218002.5
3363,11526200.0
3364,7978153.0
3365,1756799.6
3366,34923224.0
3367,61249896.0
3368,1756799.6
3369,26037314.0
3370,22226292.0
3371,23842412.0
3372,18228880.0
3373,29311654.0
3374,8806802.0
3375,42173816.0
